,name,population,local_name
0,Aruba,103000,Aruba
1,Afghanistan,22720000,Afganistan/Afqanestan
2,Angola,12878000,Angola
3,Anguilla,8000,Anguilla
4,Albania,3401200,Shqiperia
5,Andorra,78000,Andorra
6,Netherlands Antilles,217000,Nederlandse Antillen
7,united Arab Emirates,2441000,Al-Imarat al- Arabiya al-Muttahida
8,Argentina,37032000,Argentina
9,Armenia,3520000,Hajastan
10,American Samoa,68000,Amerika Samoa
11,Antarctica,0,
12,French Southern territories,0,Terres australes francaises
13,Antigua and Barbuda,68000,Antigua and Barbuda
14,Australia,18886000,Australia
15,Austria,8091800,osterreich
16,Azerbaijan,7734000,Azarbaycan
17,Burundi,6695000,Burundi/uburundi
18,Belgium,10239000,Belgie/Belgique
19,Benin,6097000,Benin
20,Burkina Faso,11937000,Burkina Faso
21,Bangladesh,129155000,Bangladesh
22,Bulgaria,8190900,Balgarija
23,Bahrain,617000,Al-Bahrayn
24,Bahamas,307000,The Bahamas
25,Bosnia and Herzegovina,3972000,Bosna i Hercegovina
26,Belarus,10236000,Belarus
27,Belize,241000,Belize
28,Bermuda,65000,Bermuda
29,Bolivia,8329000,Bolivia
30,Brazil,170115000,Brasil
31,Barbados,270000,Barbados
32,Brunei,328000,Brunei Darussalam
33,Bhutan,2124000,Druk-Yul
34,Bouvet Island,0,Bouvetoya
35,Botswana,1622000,Botswana
36,Central African Republic,3615000,Centrafrique/Be-Afrika
37,Canada,31147000,Canada
38,Cocos (Keeling) Islands,600,Cocos (Keeling) Islands
39,Switzerland,7160400,Schweiz/Suisse/Svizzera/Svizra
40,Chile,15211000,Chile
41,China,1277558000,Zhongquo
42,Cote dIvoire,14786000,Cote dIvoire
43,Cameroon,15085000,Cameroun/Cameroon
44,"Congo, The Democratic Republic of the",51654000,Republique Democratique du Congo
45,Congo,2943000,Congo
46,Cook Islands,20000,The Cook Islands
47,Colombia,42321000,Colombia
48,Comoros,578000,Komori/Comores
49,Cape Verde,428000,Cabo Verde
50,Costa Rica,4023000,Costa Rica
51,Cuba,11201000,Cuba
52,Christmas Island,2500,Christmas Island
53,Cayman Islands,38000,Cayman Islands
54,Cyprus,754700,Kypros/Kibris
55,Czech Republic,10278100,esko
56,Germany,82164700,Deutschland
57,Djibouti,638000,Djibouti/Jibuti
58,Dominica,71000,Dominica
59,Denmark,5330000,Danmark
60,Dominican Republic,8495000,Republica Dominicana
61,Algeria,31471000,Al-Jazair/Algerie
62,Ecuador,12646000,Ecuador
63,Egypt,68470000,Misr
64,Eritrea,3850000,Ertra
65,Western Sahara,293000,As-Sahrawiya
66,Spain,39441700,Espana
67,Estonia,1439200,Eesti
68,Ethiopia,62565000,YeItyop iya
69,Finland,5171300,Suomi
70,Fiji Islands,817000,Fiji Islands
71,Falkland Islands,2000,Falkland Islands
72,France,59225700,France
73,Faroe Islands,43000,Foroyar
74,"Micronesia, Federated States of",119000,Micronesia
75,Gabon,1226000,Le Gabon
76,united Kingdom,59623400,united Kingdom
77,Georgia,4968000,Sakartvelo
78,Ghana,20212000,Ghana
79,Gibraltar,25000,Gibraltar
80,Guinea,7430000,Guinee
81,Guadeloupe,456000,Guadeloupe
82,Gambia,1305000,The Gambia
83,Guinea-Bissau,1213000,Guine-Bissau
84,Equatorial Guinea,453000,Guinea Ecuatorial
85,Greece,10545700,Ellada
86,Grenada,94000,Grenada
87,Greenland,56000,Kalaallit Nunaat/Gronland
88,Guatemala,11385000,Guatemala
89,French Guiana,181000,Guyane francaise
90,Guam,168000,Guam
91,Guyana,861000,Guyana
92,Hong Kong,6782000,Xianggang/Hong Kong
93,Heard Island and McDonald Islands,0,Heard and McDonald Islands
94,Honduras,6485000,Honduras
95,Croatia,4473000,Hrvatska
96,Haiti,8222000,Haiti/Dayti
97,Hungary,10043200,Magyarorszag
98,Indonesia,212107000,Indonesia
99,India,1013662000,Bharat/India
100,British Indian Ocean Territory,0,British Indian Ocean Territory
101,Ireland,3775100,Ireland/eire
102,Iran,67702000,Iran
103,Iraq,23115000,Al- Iraq
104,Iceland,279000,Island
105,Israel,6217000,Yisrael/Israil
106,Italy,57680000,Italia
107,Jamaica,2583000,Jamaica
108,Jordan,5083000,Al-urdunn
109,Japan,126714000,Nihon/Nippon
110,Kazakstan,16223000,Qazaqstan
111,Kenya,30080000,Kenya
112,Kyrgyzstan,4699000,Kyrgyzstan
113,Cambodia,11168000,Kampuchea
114,Kiribati,83000,Kiribati
115,Saint Kitts and Nevis,38000,Saint Kitts and Nevis
116,South Korea,46844000,Taehan Minguk (Namhan)
117,Kuwait,1972000,Al-Kuwayt
118,Laos,5433000,Lao
119,Lebanon,3282000,Lubnan
120,Liberia,3154000,Liberia
121,Libyan Arab Jamahiriya,5605000,Libiya
122,Saint Lucia,154000,Saint Lucia
123,Liechtenstein,32300,Liechtenstein
124,Sri Lanka,18827000,Sri Lanka/Ilankai
125,Lesotho,2153000,Lesotho
126,Lithuania,3698500,Lietuva
127,Luxembourg,435700,Luxembourg/Letzebuerg
128,Latvia,2424200,Latvija
129,Macao,473000,Macau/Aomen
130,Morocco,28351000,Al-Maghrib
131,Monaco,34000,Monaco
132,Moldova,4380000,Moldova
133,Madagascar,15942000,Madagasikara/Madagascar
134,Maldives,286000,Dhivehi Raajje/Maldives
135,Mexico,98881000,Mexico
136,Marshall Islands,64000,Marshall Islands/Majol
137,Macedonia,2024000,Makedonija
138,Mali,11234000,Mali
139,Malta,380200,Malta
140,Myanmar,45611000,Myanma Pye
141,Mongolia,2662000,Mongol uls
142,Northern Mariana Islands,78000,Northern Mariana Islands
143,Mozambique,19680000,Mocambique
144,Mauritania,2670000,Muritaniya/Mauritanie
145,Montserrat,11000,Montserrat
146,Martinique,395000,Martinique
147,Mauritius,1158000,Mauritius
148,Malawi,10925000,Malawi
149,Malaysia,22244000,Malaysia
150,Mayotte,149000,Mayotte
151,Namibia,1726000,Namibia
152,New Caledonia,214000,Nouvelle-Caledonie
153,Niger,10730000,Niger
154,Norfolk Island,2000,Norfolk Island
155,Nigeria,111506000,Nigeria
156,Nicaragua,5074000,Nicaragua
157,Niue,2000,Niue
158,Netherlands,15864000,Nederland
159,Norway,4478500,Norge
160,Nepal,23930000,Nepal
161,Nauru,12000,Naoero/Nauru
162,New Zealand,3862000,New Zealand/Aotearoa
163,Oman,2542000, uman
164,Pakistan,156483000,Pakistan
165,Panama,2856000,Panama
166,Pitcairn,50,Pitcairn
